Sector,Industry,Topic,Definition
Food & Beverage,Alcoholic Beverages,Responsible Drinking & Marketing,"The irresponsible consumption of alcoholic beverages can lead to negative social externalities such as drunk driving, addiction, public health issues, underage drinking, and even death. Every year, irresponsible alcohol consumption contributes to millions of deaths worldwide, a large portion of which includes underage youth and young adults. The harmful use of alcohol is a growing concern, particularly in developing countries that do not have laws to protect against alcohol’s detrimental effects. Alcoholic beverage entities may be forced to internalise the costs of these social externalitiesthrough taxes, lawsuits, or reputational harm, which can have a material impact on operations and financial results. Failing to properly manage social externalities may lead to further unfavourable regulation and erode the industry’s social license to operate. Through education, engagement, community partnerships, and responsible marketing, particularly to underage individuals, entities can address and mitigate many of the social externalities associated with alcohol misuse. Entities that effectively manage this issue can reduce the likelihood of extraordinary expenses, improve market share, and decrease liabilities."
Food & Beverage,Alcoholic Beverages,Ingredient Sourcing,"Entities in the Alcoholic Beverages industry source a wide range of ingredients, largely agricultural inputs, from suppliers worldwide. The industry’s ability to source ingredients fluctuates with supply availability, which may be affected by climatechange, water scarcity, land management and other resource scarcity considerations. This exposure can result in price volatility and can affect entity profitability. Ultimately, climate change, water scarcity and land-use restriction present risks to an entity’s long-term ability to source key materials and ingredients. Entities that source ingredients that are more productive, effectively cultivated and less resource-intensive, or those that work closely with suppliers to increase their adaptability to climate change and manage exposure to other resource scarcity risks may reduce price volatility or supply disruptions."
Food & Beverage,Alcoholic Beverages,Environmental & Social Impacts of Ingredient Supply Chain,"Entities in the Alcoholic Beverages industry manage global supply chains to source a wide range of ingredient inputs. Howentities screen, monitor and engage with suppliers on environmental and social topics affects entities’ ability to secure supply and manage price fluctuations. Supply chain interruption can cause loss of revenue and negatively impact market share if entities are unable to find alternatives for key suppliers or must source ingredients at a higher cost. Supply chain management issues related to labour practices, environmental responsibility, ethics or corruption may also result in regulatory fines or increased long-term operational costs. The consumer-facing nature of the industry increases the reputational risks associated with supplier actions. Managing an entity’s exposure to environmental and social risks may improve supply chain resiliency and enhance an entity’s reputation. Entities can engage with key suppliers to manage environmental and social risks to improve supply chain resiliency, mitigate reputational risks and potentially increase consumer demand or capture new market opportunities."
Technology & Communications,Internet Media & Services,Intellectual Property Protection & Competitive Behaviour,"Despite the openness of the Internet, entities in the Internet Media & Services industry spend a significant proportion of their revenues on intellectual property (IP) protection, including acquiring patents and copyrights. While IP protection is inherent to the business model of some entities in the industry and is an important driver of innovation, the IP practices ofentities can be a contentious societal issue. Entities could sometimes acquire patents and other IP protection to restrict competition and access to benefits from innovation, particularly if they are dominant market players. Due to the complexity of software, its abstract nature, and increasing IP rights protection related to software, Internet Media & Services entities have to navigate overlapping patent claims to be able to operate. As a result, entities in the industry may find themselves constantly in litigation or subject to regulatory scrutiny either due to allegations of patent violations if they engage in unethical business practices, or are perceived as doing so, or because they are suing others for IP infringement. Adverse legal or regulatory rulings related to antitrust and IP can expose internet media and services entitiesto costly and lengthy litigations and potential monetary losses as a result. Such rulings may also affect an entity’s market share and pricing power if its patents or dominant position in key markets are legally challenged, with significant impact on revenue. Therefore, entities that can balance the protection of their IP and its use to spur innovation with ensuring their IP management and other business practices do not unfairly restrict competition, have the potential to lower regulatory scrutiny and legal actions while protecting their market value."
Technology & Communications,Internet Media & Services,Environmental Footprint of Hardware Infrastructure,"With the Internet & Media Services industry providing a growing amount of content and service offerings, entities in this industry increasingly own, operate or rent more data centres and other hardware. Thus, managing the energy and water use associated with IT hardware infrastructure is relevant to value creation. Data centres must be powered continuously. Energy supply disruptions may have a material impact on operations depending on the disruption magnitude and timing. Entities face a trade-off between energy and water consumption because of data centre cooling needs. Cooling data centres with water instead of chillers improves energy efficiency, but this method may create dependence on significant local water resources. Data centre specification decisions are important for managing costs, obtaining a reliable energy and water supply, and reducing reputational risks, particularly with the increasing global regulatory focus on climate change and the opportunities arising from energy efficiency and renewable energy innovations."
Technology & Communications,Internet Media & Services,"Data Privacy, Advertising Standards & Freedom of Expression","Entities in the Internet & Media Services industry rely on customer data to innovate new tools and services, generate revenues through advertising sales, and track and prevent criminal activities, such as hacking and online predators targeting children. However, the use and storage of a wide range of customer data, such as personal, demographic, content, and behavioural data, raises privacy concerns, leading to increased regulatory scrutiny in many countries around the world. Entities face reputational risks from providing access to user data to governments, which raises concerns that the data may be used to limit the freedoms of citizens. This issue has impacts on entity profitability through the loss of users and can influence decisions to enter or operate in certain markets."
Technology & Communications,Internet Media & Services,"Employee Recruitment, Inclusion & Performance","Employees are key contributors to value creation in the Internet Media & Services industry. While the number of job openings in the industry continues to grow, entities are finding it difficult to recruit qualified employees to fill these positions. The shortage in technically skilled domestic employees has created intense competition to acquire highly skilled employees, contributing to high employee turnover rates. In response to talent shortages, entities are hiring foreign nationals, which creates risks related to perceived social implications in the host and home countries of workers. Entities offer significant monetary and non-monetary benefits in order to improve employee engagement and, therefore, retention and productivity increase. Initiatives to improve employee engagement and work-life balance might influence the recruitment and retention of a diverse workforce. As the industry is characterised by relatively low representation fromwomen and minority groups, efforts to recruit from and develop diverse talent pools can serve to address the talent shortage and generally to improve the value of entity offerings. Greater workforce diversity is important for innovation, and it helps entities understand the needs of their diverse and global customer base."
Technology & Communications,Internet Media & Services,Data Security,"Entities in the Internet Media & Services industry are subject to a large and growing number of cyber attacks and social engineering threats, which puts customer information and an entity's own data at risk. Inadequate prevention, detection, and remediation of data security threats can influence customer acquisition and retention and result in decreased market share and lower demand for the entity’s products and/or services. By identifying and addressing data security threats in a timely manner entities can protect brand value and will be better positioned for customer acquisition and retention. Furthermore, effective management can avoid significant expenses associated with data breaches—most commonly directed at recapturing users following a breach."
Extractives & Minerals Processing,Oil & Gas - Services,Management of the Legal & Regulatory Environment,"The Oil & Gas – Services industry is subject to numerous sustainability-related regulations and an often rapidly changing regulatory environment. Changes to the legal and regulatory environment may result in material impacts on shareholder value. Entities in the industry regularly participate in the regulatory and legislative process on a wide variety of environmental and societal issues, and may do so directly or through representation by an industry association. Such engagement can result from entities seeking to ensure industry views are represented in the development of regulations impacting the industry as well as to represent shareholder interests. At the same time, such engagement to influence environmental laws and regulations may adversely affect entities’ reputations with stakeholders and ultimately impact the entity’s social license to operate. Entities that are able to balance these viewpoints may be better positioned to respond tomedium- to long-term regulatory developments."
Extractives & Minerals Processing,Oil & Gas - Services,Business Ethics & Payments Transparency,"With operations across the globe, oil and gas services entities interact with many government and local officials, either directly or through agents, in order to secure contracts with state-owned oil entities and multinational corporations. Bribery and corruption are common in some regions, and in others, to the transparency of payments to governments maybe a significant issue. The emergence of several anti-corruption, anti-bribery, and payments-transparency laws and initiatives create regulatory mechanisms to reduce certain risks. Violations of these could lead to significant one-time costsor higher ongoing compliance costs, whereas successful compliance with such regulations could provide risk mitigation opportunities and avoid adverse outcomes. Oil and gas services entities are under pressure to ensure that their governance structures and practices can address corruption, willful or unintentional participation in illegal or unethical payments and gifts to government officials or private persons, or the risk of otherwise unfairly influencing these individuals, especially in areas of heightened risk."
Extractives & Minerals Processing,Oil & Gas - Services,Water Management Services,"Oil and gas development often requires large quantities of water, exposing producers to the risks of water scarcity, water use regulations and related cost increases, particularly in water-stressed regions. Producers also must manage wastewater disposal risks and costs. As such, service entities that develop superior technologies and processes, such as closed-loop water recycling systems to reduce customers’ water consumption and disposal costs, may gain market share and increase revenue, because drilling and wastewater management can be a significant competitive factor for their customers."
Extractives & Minerals Processing,Oil & Gas - Services,Ecological Impact Management,"Oil and gas exploration and development activities, and associated services and support activities, can have significant impacts on biodiversity and ecosystems, particularly when entities operate in ecologically sensitive areas or are characterised by highly resource-intensive operations. These can occur through disposal of drilling and associated wastes, well decommissioning, land use, and fuel spills. Producers face regulatory risks from legislation and permitting to protect ecosystems in the U.S. and abroad, and from regulations specifically related to well decommissioning or underground waste injection. Oil and gas services entities that are able to offer cost-effective and efficient production and decommissioning technologies that mitigate impacts on biodiversity by reducing land use, drilling wastes, and spills can lower associated risks for their customers and gain a competitive advantage."
Extractives & Minerals Processing,Oil & Gas - Services,Workforce Health & Safety,"Workers in the Oil & Gas – Services industry face significant health and safety risks due to the harsh working environments and hazards of handling oil and gas. In addition to acute impacts resulting from accidents, workers may develop chronic health conditions, including those caused by silica or dust inhalation, as well as mental health problems. A significant proportion of the workforce at oil and gas drilling sites consists of temporary workers and employees of oil and gas services entities. Health impacts on, and the safety performance of, such workers can affect Services entities directly by influencing worker productivity and costs. Services entities compete on the basis of their reputation and ability to perform activities on a consistently safe basis. Customers evaluate instances of accidents, spills, injuries, and fatalities when considering awarding contracts to services entities. "
Extractives & Minerals Processing,Oil & Gas - Services,Critical Incident Risk Management,"Services entities are subject to significant risks associated with low-probability, high-consequence events associated with oil and gas exploration, development, and production activities. Such events may result in multiple fatalities, significant property damage, or a significant adverse impact to the environment. Services entities may be affected indirectly through the impacts that safety incidents or emergencies can have on their Exploration & Production (E&P) customers. Additionally, significant incidents can have wide-ranging negative social and environmental consequences, for which bothE&P and service entities may be held liable. Services entities compete on the basis of their reputation and ability to perform activities on a consistently safe basis. In addition to implementing effective process safety management practices,entities frequently prioritise developing a strong culture of safety in order to reduce the probability that accidents and other health and safety incidents will occur. If accidents and other emergencies do occur, entities with a strong safety culture are often able to more effectively detect and respond to such incidents. A culture that engages and empowers employees and contractors to work with management and E&P entities in order to safeguard their own health, safety, and well-being and to prevent accidents is likely to help services entities reduce risks to financial value."
Extractives & Minerals Processing,Oil & Gas - Services,Chemicals Management,"Oil and Gas - Services entities produce oilfield chemicals as well as drilling and hydraulic fracturing fluids based on demand from Exploration & Production (E&P) entities. While the risk of leaks from a properly drilled and completed well islow, contamination of local water resources can result from contact with hydraulic fracturing fluids and produced water, and may arise from issues related to well integrity. Concerns about certain chemicals used in hydraulic fracturing fluids have led to fracturing bans, regulation, and legislative proposals to mandate disclosure of chemicals used in some regions,both in the U.S. and abroad. The exact chemical composition of hydraulic fracturing fluids is often proprietary information, and entities compete to create the most effective formulas. In the U.S., some entities are voluntarily disclosing information about the hydraulic fracturing chemicals they use through an industry registry, FracFocus. Due to public and regulatory attention to the potential hazards of drilling fluids, entities that are able to manage issues related towell development and integrity, the production and use of produce effective non-hazardous fracking fluids, and the reduction of the volumes of drilling fluids used per well, may increase their market share and revenues and lower the risk that regulations affect demand for their products."
Extractives & Minerals Processing,Oil & Gas - Services,Emissions Reduction Services & Fuels Management,"Although direct greenhouse gas (GHG) emissions and associated regulatory risks are relatively low for oil and gas services providers relative to other industries, emissions from the operations of their customers—the oil and gas exploration and production (E&P) entities—can be significant. Emissions include GHGs that can contribute to climate change as well as other air pollutants that can have significant localised human health and environmental impacts. Increasing regulation and high costs of fuels associated with these emissions present substantial risk to E&P entities. Entities are seeking ways to lower their emissions, including converting pumps and engines to run on natural gas and electricity instead of diesel fuel. Oil and gas services entities compete for contracts partly based on providing innovative, efficient technologies that can help E&P entities reduce operating costs and improve process efficiencies. Services entities can gain a competitive advantage, grow revenue and secure market share by providing customers with services and equipment to reduce GHG, fugitive and flared emissions and fuel consumption."
Food & Beverage,Processed Foods,Water Management,"Processed Foods entities rely on a reliable water supply for cooking, processing and cleaning finished goods. Additionally, entities in the industry generate and must manage the wastewater discharge from processing activities. As water scarcity becomes an issue of increasing importance, processed foods entities—operating in water-stressed regions—may face increasing operational risks. Entities in the industry may face higher operational costs as well as water shortages because of the physical availability or more stringent regulations. Entities can manage water-related risks and opportunities through capital investments and assessment of facility locations relative to water scarcity risks, improvements to operational efficiency, and partnerships with regulators and communities on issues related to water access and effluent."
Food & Beverage,Processed Foods,Food Safety,"Food safety, as it relates to production quality, spoilage, contamination, supply chain traceability, and allergy labelling, canmaterially affect processed foods entities. Food safety recalls can happen for numerous reasons, including packaging defects, food contamination, spoilage, and mislabeling. Food safety issues that arise within an entity’s supply chain typically result in recalls of final products and can also influence the brand reputation, operations, and revenue of processed foods entities. Supply chain traceability is a great concern for entities in the industry, particularly amid new regulations. Poor management of food quality and safety may lead to damage to brand value, lower revenues, and increased costs associated with recalls, fines, lost inventory, and/or litigation. Obtaining food safety certifications or ensuring suppliers meet food safety guidelines may help entities in the industry safeguard product safety and communicate the quality of their products to retailers and consumers."
Food & Beverage,Processed Foods,Product Labelling & Marketing,"Communication with consumers through product labelling and marketing is an important facet of processed foods entities. The accuracy and depth of information presented in food labelling is of importance to regulators and consumers.Labelling regulations require specific and detailed product information to ensure food safety and inform consumers of nutritional content. Additionally, to help inform purchasing decisions, consumers are increasingly interested in further information about the ingredients used in processed foods, such as genetically modified organism (GMO) content, and about the production methods used. Another area of public concern is the marketing practices of processed foods entities, especially those targeted to children or on nutritional claims, and whether they present potentially untruthful or misleading information. Product labelling and marketing issues can affect the competitive landscape of the industry, as entities may be subject to litigation or criticism resulting from misleading statements or failing to adapt to consumer demand for increased labelling transparency. Additionally, regulations on product labelling and marketing introduce near-term costs to adhere and present the risk of penalties or litigation. All of these factors can impact an entity’s brand value, operating costs, and revenue growth."
Food & Beverage,Processed Foods,Packaging Lifecycle Management,"Packaging materials represent a major business cost and contribute to the environmental footprint of processed foods entities. Each stage of a package’s lifecycle, including design, transportation, and disposal, presents its own unique environmental challenges and opportunities. Entities may be impacted by regulations on allowable packaging materials orend-of-life management of packaging. Processed foods entities can work with packaging manufacturers on packaging design to generate cost savings, improve brand reputation, and reduce their environmental impact. Innovations such as light-weighting materials can also result in cost benefits in the transportation of goods. Other innovations can improve end-of-life management of products, such as through the use of recyclable or compostable materials, which may mitigatepotential risks related to costs and compliance. "
Food & Beverage,Processed Foods,Energy Management,"The Processed Foods industry is reliant on energy and fuel as primary inputs for value creation in manufacturing food products. Energy is needed to operate large manufacturing facilities for cooking, refrigeration and packaging. Energy production and consumption contributes to significant environmental impacts, including climate change and pollution, which have the potential indirectly, yet materially, to affect processed food entity operations. Energy efficiency in production and distribution can mitigate exposure to volatile energy costs and limit an entity’s contribution to direct and indirect greenhouse gas (GHG) emissions. Producers may be able to reduce the risk posed by volatile fossil fuel energy costs—particularly natural gas, which the industry uses heavily—by diversifying their energy portfolio across a range of sources. Decisions regarding alternative fuels use, renewable energy and on-site generation of electricity versus purchasing from the grid, may influence both the costs and reliability of the energy supply."
Food & Beverage,Processed Foods,Ingredient Sourcing,"Entities in the Processed Foods industry source a wide range of ingredients, largely agricultural inputs, from global suppliers. The industry’s ability to source ingredients, and at some price points, fluctuates with supply availability, which may be affected by climate change, water scarcity, land management and other resource scarcity considerations. This exposure may cause price volatility which may affect entity profitability. Climate change, water scarcity and land-use restrictions present risks to an entity’s long-term ability to source essential materials and ingredients. Entities that source ingredients which are more productive and less resource-intensive, or coordinate with suppliers to increase their adaptability to climate change and other resource scarcity risks, may reduce price volatility and supply disruptions."
Food & Beverage,Processed Foods,Environmental & Social Impacts of Ingredient Supply Chain,"Entities in the Processed Foods industry manage global supply chains to source a wide range of ingredient inputs. How entities screen, monitor and engage with suppliers on environmental and social topics affects the ability of entities to maintain steady supplies and manage price fluctuations. Supply chain management issues related to labour and environmental practices, ethics or corruption also may result in regulatory fines or increased long-term operational costs for entities. The consumer-facing nature of the industry increases the reputational risks associated with supplier performance. Entities can engage with important suppliers to manage environmental and social risks to improve supply chain resiliency, mitigate reputational risks, potentially increase consumer demand, or capture new market opportunities."
Food & Beverage,Processed Foods,Health & Nutrition,"Key nutritional and health concerns such as obesity, ingredient safety, and nutritional value are shaping the Processed Foods industry’s competitive landscape. The health and nutrition characteristics of the industry’s products and ingredients are of growing concern to both consumers and regulators, thus creating the potential for these issues to affect a processed food entity’s reputation and its license to operate. New regulations, including imposed taxes on processed foods, may impact industry profitability and pose long-term risks in the form of reduced demand for the industry’s products. Entities that adapt to changing consumer preferences to promote more healthful and nutritious offerings may be better positioned to gain market share in a growing segment while avoiding the risks associated with potential regulation and shifts in demand."
Resource Transformation,Industrial Machinery & Goods,Remanufacturing Design & Services,"Industrial machinery and goods manufacturing uses large quantities of steel, iron, aluminium, glass, plastics, and other materials. Remanufacturing of industrial machinery systems (called ""cores"") is an opportunity for industrial machinery entities to limit the amount of raw materials needed to produce new machinery, as well as the time and other resources required to produce finished goods. Remanufactured products can also create value from products otherwise destined fordisposal or recycling. Industrial machinery entities can achieve cost savings by reusing end-of-life parts to build remanufactured machines, which may be resold to customers. Thus, remanufacturing in process and design can reduce demand for raw materials, reduce manufacturing costs, and create new sales channels."
Resource Transformation,Industrial Machinery & Goods,Materials Sourcing,"Industrial machinery entities are exposed to supply chain risks when critical materials are used in products. Entities in the industry manufacture products using critical materials with few or no available substitutes, many of which are sourced from deposits concentrated in only a few countries, which are subject to geopolitical uncertainty. Entities in this industry also face competition due to increasing global demand for these materials from other sectors, which can result in price increases and supply risks. Entities that are able to limit the use of critical materials through use of alternatives, as well as secure their supply, can mitigate the potential for financial impacts stemming from supply disruptions and volatile input prices."
Resource Transformation,Industrial Machinery & Goods,Energy Management,"Energy is a critical input in industrial machinery manufacturing. Purchased electricity is the largest share of energy expenditure in the industry, followed by purchased fuels. The type of energy used, amount consumed and energy management strategies depend on the type of products manufactured. Including the use of electricity generated on site, grid-sourced electricity and alternative energy, an entity’s energy mix can influence the cost and reliability of energy supplyand, ultimately, affect the entity’s cost structure and regulatory risk."
Resource Transformation,Industrial Machinery & Goods,Fuel Economy & Emissions in Use-phase,"Many of the Industrial Machinery & Goods industry’s products are powered by fossil fuels and release greenhouse gases (GHGs) and other air emissions during use. Customer preferences for improved fuel economy combined with regulations restricting emissions are increasing the demand for energy-efficient and lower-emission products in the industry. As such, entities that develop products with these characteristics may capture expanding market share, reduce regulatory risk and improve brand value."
Resource Transformation,Industrial Machinery & Goods,Employee Health & Safety,"Employees in industrial machinery manufacturing facilities face health and safety risks from exposure to heavy machinery, moving equipment, and electrical hazards, among others. Creating an effective safety culture is critical to proactively mitigate safety incidents, which could result in higher healthcare costs, litigation, and work disruption. By implementing strong safety protocols, including incident reporting and investigation, and promoting a culture of safety, entities can minimise safety-related expenses and potentially improve productivity in the long term. "
Financials,Security & Commodity Exchanges,Managing Conflicts of Interest,"Security and commodity exchanges are responsible for the oversight of member entities. Specifically, firms in this industry monitor membership information and regulatory compliance to ensure market integrity and transparency. For example, in the U.S., they investigate and prosecute member entities that violate the Securities and Exchange Act. Recent controversies relating to market manipulation, tax fraud, investor protection rules, and anti-trust have raised concern about conflicts of interest that arise due to security and commodity exchanges’ position as self-regulatory organisations (SROs). Rapid innovation in financial markets provides significant opportunities to enhance profitability. However, exchanges must continue to fulfil their responsibilities as SROs to ensure open and fair access to all investors, to publish rules and fees, and to oversee trading. Entities that avoid fraudulent or unethical activities will maintain market integrity, limit reputational damage, and ensure their long-term sustainable growth."
Financials,Security & Commodity Exchanges,Promoting Transparent & Efficient Capital Markets,"Security and commodity exchanges have a responsibility to ensure equal access to capital markets for all investors. As public markets, these entities play a critical role in efficient capital allocation and the equal application of rules to all participants. In addition, entities must manage the release of public information to prevent asymmetries. Further, with theadvent of high-frequency trading there is heightened concern that technology can lead to advantages for certain traders at the expense of others. Information asymmetries that lead to unfair arbitrage could result in litigations and, potentially, regulatory penalties, additional regulatory oversight and compliance costs, as well as reputational damage that may hurt trading volumes and thus revenues. Disclosure of policies relating to information releases, halts of trading, and the risks and opportunities associated with algorithmic or high-frequency trading will allow investors to further understand how security and commodity exchanges protect shareholder value."
Financials,Security & Commodity Exchanges,Managing Business Continuity & Technology Risks,"Security and commodity exchanges face increased risks and opportunities associated with information technology. The industry’s central position in the proper functioning of financial markets requires that issues including security breaches and technology errors are managed to prevent market disruptions. As security and commodity exchanges face increased volumes of trading associated with the clearing and execution of derivative trades and increased frequency of cyber attacks, the industry will be exposed to new risks and opportunities associated with its reliance on information technology. Failure to ensure continuity of trading may erode customer trust and result in lower trading volumes, thus lossof revenue. Increased disclosure of efforts taken to prevent these risks, in addition to the current performance, will allow shareholders to accurately assess value. "
Infrastructure,Real Estate Services,Sustainability Services,"In the Real Estate Services industry, buildings owned or occupied by clients generally have significant sustainability impacts. Buildings, and the activities that take place within them, drive energy consumption, direct and indirect greenhouse gas (GHG) emissions, water consumption, waste generation and indoor environmental quality concerns that can impact occupant health. Entities have an opportunity to improve the sustainability impacts of buildings and their operations through sustainability- related services. These services may include utility data management, energy procurement, energy and water benchmarking, resource efficiency improvements, activities related to sustainability certifications, and sustainability consulting and training. Entities may impact building sustainability further by arranging leases that incentivise both owners and tenants to improve sustainability performance, while yielding financial benefits forboth parties. Providing these services may drive new revenue growth and increase client retention. Effective sustainability services may benefit owners or tenants through improved asset values, increased tenant demand, decreased operating costs and improved tenant experiences."
Infrastructure,Real Estate Services,Interest,"The business model of real estate services entities is dependent on client trust and loyalty. To ensure long-term, mutually beneficial relationships, entities need to provide services that satisfy the highest professional and ethical standards of the industry. Professional integrity is an important governance issue, as the range of services and the number of professionals within a single organisation can make the management of conflicts of interest more challenging. Brokerage and appraisalservices may come with particularly high risk of conflicts of interest and negligence. In order to manage and avoid these risks, entities in the industry can implement a range of governance measures, including employee training, oversight, and policies, procedures, and enforcement systems focused on transparency and appropriate disclosures. Effective management of these risks can lead to increased client trust and better brand value in the market, adding to long-term revenue growth. Inadequate management of risks may lead to regulatory fines and penalties, as well as decreased client trust and a loss in business."
Transportation,Cruise Lines,Customer Health & Safety,"Cruise lines offer a variety of luxury experiences and activities to their customers, including elaborate shows, casinos, fine dining, indoor skydiving, spa treatments, swimming, and fitness facilities. Each activity comes with its own set of health risks and safety challenges and liabilities that cruise entities must navigate. Consumer expectations for safety and comfortare high, so issues such as health risks and physical safety risks are especially important to avoid. Highly publicised cases of crimes, injuries, and illnesses onboard cruise ships can have serious impacts on brand value and ticket sales. There may also be high costs associated with customer lawsuits. While crime rates are low when compared to crime statistics in mostdeveloped countries, law enforcement is much trickier, and cases are not as easy to resolve as it is common for ships to take passengers to international waters and to fly a foreign flag, creating uncertainty about which jurisdictions are responsible for law enforcement needs. Entities can protect customer health and safety through implementation of a robust safety management system."
Transportation,Cruise Lines,Greenhouse Gas Emissions,"Cruise lines generate emissions mainly from the combustion of diesel in ship engines. The industry’s reliance on heavy fueloil (‘bunker fuel’) is of material concern because of rising fuel costs and intensifying greenhouse gas (GHG) regulations. Evolving environmental regulations are encouraging the adoption of more fuel-efficient engines, engine retrofits and the use of cleaner-burning fuels. Fuel constitutes a major expense for industry players, providing a further incentive for investing in upgrades or retrofits to boost fuel efficiency. In addition, GHG regulation violations may result in fines and compliance costs."
Transportation,Cruise Lines,Air Quality,"Fuel use by cruise lines generates air pollutants such as sulphur oxides (SOx), nitrogen oxides (NOx), and particulate matter (PM10). These pollutants tend to have localised environmental and health impacts and are especially a concern at port cities and other restricted areas where entities may be penalised for exceeding emissions limits. Entities are managing these risks by commissioning more energy-efficient vessels, retrofitting existing fleets, and using onshore power when it isavailable at ports."
Transportation,Cruise Lines,Accident Management,"Although cruising is statistically one of the safest forms of travel for vacationing, the industry competes largely on customer experience and satisfaction, making safety management a top priority. Given the scale of cruise vessels and the vulnerability of passengers at sea, it may only take one mismanaged accident to shake consumer confidence in an entity. While major accidents are rare, they have the potential to affect not only an entity’s revenue and reputation, but those of the Cruise Lines industry as a whole. Proper equipment maintenance, staff training, and use of the latest safety technologies and practices across the entire fleet can protect an entity’s safety record and ensure high customer satisfaction while lowering an entity’s risk profile and cost of capital."
Transportation,Cruise Lines,Discharge Management & Ecological Impacts,"Cruise vacations offer unique access to pristine ocean waters and destinations with delicate ecosystems. These sensitive ecosystems can be threatened by the size of the ships, the influx of tourists, and the scale of the resources consumed andwaste generated on board. Cruise ships discharge many types of treated and untreated wastewater at sea and non-degradable solid wastes on land. Careful management of ship discharge and mitigation of the ecological impacts of cruise line operations will ensure continued access to key ports and will help preserve the natural beauty that guests wish to experience, both of which are key for entities to maintain market share as well as attract new customers."
Transportation,Cruise Lines,Employee Health & Safety,"Cruise entities operate a uniquely transitory service that requires them to provide all the safety oversight of a small city, including addressing all medical and security needs. A commitment to providing a clean and sanitary environment on board is important for protecting crew health, which can affect customer health and thus an entity’s reputation and market share. Additionally, there can be several governing bodies—including the flag state, port state, and home country of a crew member—involved in both providing and enforcing safety regulations for the industry. These regulations can create confusion regarding the protections afforded to crew members. Entities that fail to protect crew health and safety may also face higher turnover and difficulties in employee recruitment and retention."
Transportation,Cruise Lines,Labour Practices,"Cruise lines employ thousands of workers onboard each large vessel. Most ships are registered in countries where labour laws allow flexibility in many dimensions including pay, hours, fair treatment, and termination. Ship crews are multinational, and many are hired on a contract basis. Workers often put in long hours for months at a stretch and stay inshared quarters, which can make it difficult to recuperate. Some entities offer a gratuity-based wage structure to reduce payroll costs. Language barriers and the complexity of flag-state laws and the laws in workers’ home countries can make it difficult for workers to file charges in the case of labour law violations. Low morale among workers can impact their ability to meet customer service expectations, reducing an entity’s revenues and market share."
Consumer Goods,Household & Personal Products,"Product Environmental, Health, and Safety Performance","The Household & Personal Products industry faces growing consumer and regulatory pressure over the use of chemicals ofconcern, which have been linked to negative environmental externalities and impacts on human health. Some of these chemicals include persistent, bioaccumulative, and toxic (PBT) substances and carcinogenic, mutagen, or teratogenic chemicals, all of which are under increased regulatory scrutiny. Isolating and determining causal channels for negative health and environmental impacts is difficult, which means there is often a significant lag between a product’s introduction to the market and the point at which regulation and/or public opinion causes entities in the industry to reformulate. Directives in the EU and legislation in the U.S. place restrictions on or suggest alternatives to the use of harmful chemicals within the industry. Separately, the U.S. Food & Drug Administration (FDA) in the U.S. may secure greater regulatory power over chemicals used by the cosmetics industry, which would very likely result in higher costs for the Household & Personal Products industry. Large retailers have implemented programs to ban chemicals of concern in the products they sell, which is placing greater pressure on the industry. Entities that are able to anticipate the changing regulatory landscape and implement stricter processes and testing are more likely to gain a competitive advantage. Early adopters of innovations in green chemistry and the reduction of chemicals of concern may improve profitability by being better able to capture changing customer demand and avoiding regulatory burdens."
Consumer Goods,Household & Personal Products,Water Management,"Water is vital to the Household & Personal Products industry, both as a coolant in manufacturing processes and as a main input for many of the industry’s products. Water is becoming a scarce resource around the world because of population growth and increasing consumption, rapid urbanisation, and declining supplies because of subsurface aquifer depletion, drought and climate change. Many entities in this industry have operations in regions of the world facing water scarcity. Without careful planning, entities could face increased costs or lose water access in these regions, which may be a risk to production. Having rigorous checks in place to ensure a steady supply of water to all factories, as well as investing in technology to increase water use efficiency, will help entities reduce water-related risks as water scarcity becomes an increasingly global issue."
Consumer Goods,Household & Personal Products,Packaging Lifecycle Management,"The Household & Personal Products industry uses a large amount of materials for product packaging, which often constitutes a significant portion of entities’ expenses. In addition, packaging design, particularly packaging weight, has a direct impact on transportation expenses, which can be significant. At the same time, the industry is facing pressure from both consumers and large retail outlets to address the environmental characteristics of its packaging, as material extraction and waste contribute to environmental externalities. The sustainability performance of packaging depends largely on the type, use, and ultimate disposal of materials. However, entities that effectively manage the sustainability characteristics of their product packaging—including light-weighting of materials, the use of recycled content and recyclable materials, and the use of sustainably sourced materials—may be better positioned to capture shifting consumerdemand and avoid (or mitigate the impacts of) regulation related to extended producer responsibility. By managing the sustainability of product packaging, entities can also potentially reduce input and transportation costs."
